source_city,risk_category,facility_type,inspection_count
Dallas,null,null,135019
Chicago,Risk 1 (High),Restaurant,127496
Chicago,Risk 2 (Medium),Restaurant,25080
Chicago,Risk 1 (High),School,15093
Chicago,Risk 1 (High),Grocery Store,9996
Chicago,Risk 2 (Medium),Grocery Store,8379
Chicago,Risk 3 (Low),Grocery Store,8213
Chicago,Risk 1 (High),Children's Services Facility,5222
Chicago,Risk 1 (High),Daycare Above and Under 2 Years,3061
Chicago,Risk 1 (High),Daycare (2 - 6 Years),2172
Chicago,Risk 1 (High),Long Term Care,1978
Chicago,Risk 2 (Medium),Bakery,1738
Chicago,Risk 1 (High),Bakery,1581
Chicago,Risk 1 (High),Catering,1172
Chicago,Risk 3 (Low),Restaurant,873
Chicago,Risk 2 (Medium),School,850
Chicago,Risk 2 (Medium),Mobile Food Preparer,830
Chicago,Risk 3 (Low),Liquor,681
Chicago,Risk 1 (High),Hospital,634
Chicago,Risk 1 (High),Golden Diner,633
Chicago,Risk 1 (High),Daycare Combo 1586,416
Chicago,Risk 3 (Low),School,313
Chicago,Risk 3 (Low),Mobile Food Dispenser,282
Chicago,Risk 3 (Low),TAVERN,231
Chicago,Risk 1 (High),Shared Kitchen,203
Chicago,Risk 1 (High),Daycare (Under 2 Years),201
Chicago,Risk 3 (Low),Wholesale,164
Chicago,Risk 3 (Low),GAS STATION,123
Chicago,Risk 1 (High),CHARTER SCHOOL,117
Chicago,Risk 2 (Medium),Special Event,114
Chicago,Risk 2 (Medium),Wholesale,108
Chicago,Risk 1 (High),Shelter,104
Chicago,Risk 1 (High),Shared Kitchen User (Long Term),98
Chicago,Risk 2 (Medium),LIVE POULTRY,85
Chicago,Risk 1 (High),null,84
Chicago,Risk 1 (High),Special Event,84
Chicago,Risk 1 (High),BANQUET HALL,74
Chicago,Risk 1 (High),PRIVATE SCHOOL,67
Chicago,Risk 1 (High),BANQUET,66
Chicago,Risk 1 (High),Wholesale,61
Chicago,Risk 2 (Medium),KIOSK,57
Chicago,Risk 3 (Low),Mobile Prepared Food Vendor,53
Chicago,Risk 3 (Low),Mobile Frozen Desserts Vendor,50
Chicago,Risk 1 (High),STADIUM,49
Chicago,Risk 1 (High),DAYCARE,47
Chicago,Risk 2 (Medium),Mobile Food Dispenser,46
Chicago,Risk 1 (High),Mobile Food Preparer,43
Chicago,Risk 3 (Low),null,40
Chicago,Risk 2 (Medium),null,38
Chicago,Risk 1 (High),CAFETERIA,37
Chicago,Risk 1 (High),GROCERY/RESTAURANT,36
Chicago,Risk 1 (High),1023 CHILDERN'S SERVICES FACILITY,36
Chicago,Risk 2 (Medium),ROOFTOP,35
Chicago,Risk 2 (Medium),Catering,35
Chicago,Risk 1 (High),SUPPORTIVE LIVING,34
Chicago,Risk 2 (Medium),Liquor,34
Chicago,Risk 2 (Medium),ROOFTOPS,30
Chicago,Risk 1 (High),ASSISTED LIVING,30
Chicago,Risk 1 (High),GROCERY STORE/GAS STATION,29
Chicago,Risk 1 (High),Grocery & Restaurant,28
