source_city,violation_code,violation_description,violation_points,violation_count
Chicago,38,VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED,null,72064
Chicago,38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",null,72064
Chicago,34,"FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED",null,70765
Chicago,34,PLANT FOOD PROPERLY COOKED FOR HOT HOLDING,null,70765
Chicago,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",null,66419
Chicago,33,PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL,null,66419
Chicago,35,"WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS",null,64790
Chicago,35,APPROVED THAWING METHODS USED,null,64790
Chicago,55,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",null,54442
Chicago,32,VARIANCE OBTAINED FOR SPECIALIZED PROCESSING METHODS,null,53623
Chicago,32,"FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED",null,53623
Dallas,42,Ventilation hood systems,1,50821
Dallas,42,cleaning hermetically sealed containers of food or visible soil before opening,1,50821
Dallas,42,Dirty nonfood contact surfaces,1,50821
Dallas,42,Kickplates,1,50821
Dallas,42,Nonfood-contact surfaces material,1,50821
Dallas,42,Floors/walls/ceiling/nonfood dirty,1,50821
Dallas,42,Floors/walls/ceiling/nonfood dirty,2,50821
Dallas,10,Food thermometer cleaned before use,3,48875
Dallas,10,Q.A. PPM -  hardness of water,3,48875
Dallas,10,"Single-use articles, required use",3,48875
Dallas,10,"After being cleaned, food-contact surfaces shall be sanitized in a contact time of at least 7 se",3,48875
Dallas,10,Clean Sight and Touch,1,48875
Dallas,10,"After being cleaned, equipment food-contact surfaces and utensils shall be sanitized in an expos",2,48875
Dallas,10,A chemical sanitizer used: contact times criteria,3,48875
Dallas,10,"Chlorine sanitizer concentration, minimum temp.",3,48875
Dallas,10,Equipment and Utensils Cleaning-fruits & PHF,3,48875
Dallas,10,Clean Sight and Touch,2,48875
Dallas,10,Cleaning between Raw & Ready to Eat ( RTE ),3,48875
Dallas,10,Chlorine exposure time table,3,48875
Dallas,10,Equipment and Utensils Sanitization,3,48875
Dallas,10,Other sanitizer exposure time,3,48875
Dallas,10,Outfitter-Ice use (if cooling),4,48875
Dallas,10,Other sanitizer use -  manufacturer label direction,3,48875
Dallas,10,Sanitization after Cleaning,3,48875
Dallas,10,Quaternary ammonium temperature requirement,3,48875
Dallas,10,Reuse of take-home containers,3,48875
Dallas,10,Equipment / Utensils (PHF) every 4 hours,3,48875
Dallas,10,Q.A. PPM -  follow manufacturer's direction,3,48875
Dallas,10,Clean Surface Different Foods,3,48875
Dallas,10,Chlorine exposure time table,1,48875
Dallas,10,"After being cleaned, equipment food-contact surfaces and utensils shall be sanitized in an expos",3,48875
Dallas,10,Equipment and Utensils Cleaning-contamination,3,48875
Dallas,10,Hot water sanitizer surface  temp. < 160'F,3,48875
Dallas,10,Outfitter-Ice use (if cooling),3,48875
Dallas,10,Iodine solution pH requirement,3,48875
Dallas,10,"Chlorine sanitizer concentration, minimum temp.",2,48875
Dallas,10,Clean Sight and Touch,3,48875
Dallas,21,PIC ensures food properly and rapidly cooled,2,47482
Dallas,21,PIC ensures effective handwashing  being done,2,47482
Dallas,21,PIC ensures consumers know to use clean tableware,2,47482
Dallas,21,RFSM notify 10 days & replacement in 45 days,2,47482
Dallas,21,Person in charge must be on site at all times.,2,47482
Dallas,21,A establishment shall have written procedures for employees to follow when responding to vomitin,2,47482
Dallas,21,A establishment shall have written procedures for employees to follow when responding to vomitin,3,47482
Dallas,21,RFSM - Not On Site,1,47482
Dallas,21,PIC to ensure no unapproved indiv in food prep are,2,47482
Dallas,21,PIC ensures received foods meet requirements,2,47482
Dallas,21,Person in charge. The person in charge shall ensure that õ228.34 (1-15) Relating to Duties of PI,2,47482
Dallas,21,PIC ensures food handlers properly trained,2,47482
Dallas,21,Being a certified food protection manager who has shown proficiency of required information thro,2,47482
Dallas,21,PIC ensures foods cooked to proper temperatures,2,47482
Dallas,21,Person in charge. The person in charge shall ensure that õ228.34 (1-15) Relating to Duties of PI,1,47482
Dallas,21,Responding correctly to the inspector#s questions as they relate to the specific food operation.,2,47482
Dallas,21,Demonstrateion of knowledge by PIC,2,47482
Dallas,21,A establishment shall have written procedures for employees to follow when responding to vomitin,1,47482
Dallas,21,Outfitter-Certified Food Manager,2,47482
Dallas,21,Responding correctly to the inspector#s questions as they relate to the specific food operation.,1,47482
Dallas,21,No unnecessary personnel allowed in food prep area,2,47482
Dallas,21,PIC prevents cross contamination by bare hands,2,47482
Dallas,21,RFSM - Not On Site,2,47482
Dallas,21,RFSM supervisory capacity up to 4 establishment,2,47482
Dallas,21,Customers know of risks with partially cooked food,2,47482
Dallas,21,"Based on the risks inherent to the food operation, during inspections and upon request the perso",2,47482
Dallas,21,Bed and Breakfast Certified food protection manager,2,47482
Dallas,21,PIC ensures employees are properly sanitizing equi,2,47482
Dallas,47,Other Violations,1,40439
Dallas,47,Constructing / Remodeling without approval,1,40439
Dallas,47,Other Violations,3,40439
Dallas,47,Permit/license posted,1,40439
Dallas,47,Operate with a lapsed permit,1,40439
Dallas,47,No carpeting in food & toilet area,1,40439
Dallas,47,RFSM Certificate - Not Display,2,40439
Dallas,47,OTHER VIOLATIONS,1,40439
Dallas,47,RFSM Certificate - Not Display,1,40439
Dallas,47,Raw animal foods cooked in a microwave oven shall be allowed to stand covered for 2 minutes afte,1,40439
Dallas,47,Health permit posted,1,40439
Dallas,47,Health permit posted,2,40439
Dallas,47,Handwashing signage,1,40439
Dallas,47,Food prep/utensil wash/mop sink not for hand wash,1,40439
Dallas,47,Conditions of Permit-in use of food equipment,1,40439
Dallas,47,Invalid Plans & Specifications,1,40439
Dallas,47,Handwashing signage,2,40439
Dallas,47,Handler-Certificate Not on site,1,40439
Dallas,47,Permit/license posted,2,40439
Dallas,47,Central Preparation Facility Inspection Report,1,40439
Dallas,47,"Records kept on site--bacteriological tests, boil water notification",1,40439
Dallas,47,Handler-Certificate Not on site,2,40439
Chicago,41,WIPING CLOTHS: PROPERLY USED & STORED,null,40033
Chicago,41,"PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED",null,40033
Dallas,31,Handwashing lavatory - allow convenient,2,35257
Dallas,31,Handwashing lavatory - accessible,2,35257
Dallas,31,"A self-closing, slow-closing, or metering faucet shall provide a flow of water for at least 15 s",2,35257
Dallas,31,Handwashing lavatory - not adjacent to toilet,2,35257
Dallas,31,An automatic handwashing facility shall be installed in accordance with manufacturer's instructi,2,35257
Dallas,31,"Individual, disposable towels",1,35257
Dallas,31,Handwashing lavatory - used for other purpose,1,35257
Dallas,31,Hand sinks: number installed for convenient use,2,35257
Dallas,31,A steam mixing valve may not be used at a handwashing sink,2,35257
Dallas,31,"Individual, disposable towels",2,35257
